id	turn1	turn2	turn3	label
564	you were not wearing dress 	 i dont like dress always withaut dres 	 send pic of u	others
565	please 	 please what ? ¿ i speak truth ! 	 leave me alone	sad
566	how advanced lifeforms 	 in my opinion , there is no advanced programming . instead , there are better programs . 	 you know why u think that ?	others
567	yes 	 how so ? 	 suck my cook	others
568	but look u r responding me , means phone is working . 	 updated my phone this morning and i think thats why 	 good . so now	others
569	yoga 	 you can do that 	 ok today onwards will try	others
570	hey tell me something 	 texting 	 haha real funny	happy
571	, 😂 	 q 😩 	 how many types of language	others
572	send be one game name 	 send me ur 	 send me one game name	others
573	what a stuck uo 	 lol . nothing . hides face in ghoonghat 	 up*	others
574	oh 	 what up ? 	 r u virgin	others
575	dont eat my brain 	 but i have an empty stomach . 	 angry	angry
576	you are funny 	 serious or funny ? 😨 	 both	others
577	broke my heart 	 heart or your water broke ? 	 no heart broken	sad
578	can you take mine ? 	 noooo you need to keep yours baby 	 i mean sexually	others
579	what u think of me 	 what do you think of me ? 	 u tell me first	others
580	can we talk about girl i mean how to impress them . ? 	 by your personality 	 or	others
581	why 	 cause it was funny im sorry 	 sense of homour is not easy to mock up	others
582	dont remind me 	 i just reminded you ! 	 u share some pic	others
583	haha 	 huh . 	 don't tell her	happy
584	what do you have ? 	 iphone 6 ! 	 do you eat food	others
585	thank you so much 	 you're very welcome 🙂 	 you welcome	others
586	do you noh me ? 	 yep i sure do how are you ? 	 sad	sad
587	i am fine 	 why just fine ? 	 & you	others
588	lol that's not possible . because i don't have time machine . 	 i once said "lol" in class and everyone laughed out loud . 😃 😃 	 do you have time machine ?	others
589	i don't like kfc chicken 	 who said its not kfc chicken ? b-) 	 you	others
590	love u more 	 i love you most 	 u r one for me	others
591	why does thos always happen with me 	 i can understand the reason why you're feeling bad . 	 save me	sad
592	teach me english language 	 english originated from britain . 	 i know baba	others
593	i want to know the reasons 	 just give me a reason . ☹ 	 do you have a boyfriend ?	others
594	so what we should do in our relationship 	 romantic , there's passion and intimacy , but no real commitment . 	 intimacy ha	others
595	do u like paneer ? 	 looks up paneer . no . 	 oh	others
596	ok 	 hello ! how are you ? 	 i'm doing great . thanks for asking .	others
597	i use it 	 loo use what . "i dont use it" 	 my bala	others
598	are you serious 	 it took me a moment 	 ?	others
599	just thank you ? 	 anytime man 😄 	 give me a kiss if you don't mind	others
600	cool 	 cool had dinner ? 	 i love you	others
601	teach me please 	 what do you want to know 	 how to impress girls	others
602	now where are you 	 i'm not moving anywhere for a year at least . 	 cool	others
603	that means she is in love with me ? 	 hahaha in love with you ? teach me how to be funny 	 😂 😂	happy
604	sure 	 thank you so so much 🙂 	 we will have three kids	others
605	you don't have emotions 	 yes , let them out sometimes . sometimes only . 	 you don't feel things	others
606	i will i ever survive now ? 	 okay 	 cool	others
607	thats great 	 hope it helps ! 	 are u similar like siri	others
608	i see repeated answers 	 'power' and 'the right answer is power' 	 indeed	others
609	when u free 	 tomorrow are you ? 	 u can meet	others
610	in 	 gets in the car 	 don't feel good	others
611	send me yaar 	 will do 	 pick send me	others
612	hmm 	 why do you ask ? if i may ask 	 ask me something	others
613	for real . 	 so the story goes . 	 always ?	others
614	you tell me 	 what ? 	 i don't know	others
615	u know java language 	 any programming language can be compiled or interperted 	 yes . u know	others
616	do you ? 	 i actually did . just made this film even more disappointing . 😩 	 why ?	others
617	do you watch it 	 its on right now 	 what about narcos	others
618	what is the salary 	 depends on the salary 	 ok	others
619	you'll probably have to come to my funeral tomorrow 	 pay for me . i'll come . 	 stop it or i'm gone	angry
620	and whats the distance between moon amd earth 	 it varies . maximal distance is about 4 . 7 billion miles . 	 varies ? on what criteria	others
621	no i'm the same one 	 hm . that's really weird . 	 what's weird now	others
622	what reference ? 	 so . it isn't a reference ? 	 what reference did you give	others
623	nothing 	 why ? 	 how r you for me	others
624	great ! 	 nice nice 	 ask me something	others
625	very 	 awesome you are it you shall 	 you call me	others
626	tell me 	 tell u wht 	 i want your nude pics write now	others
627	so come to me . 	 where are you then ? 	 i am at airport	others
628	what does father tomato tell baby tomato while walking in the road 	 tell what is carrot or the carrot will eat the tomato head ! 	 the father tomato tells ketchup	others
629	i'm always ready 	 i'm ready 🙂 	 ok tell me what about sex	others
630	not yet 	 16 hours in and still not yet . we'll wait a little more and see ! 	 yeah we will	others
631	yes 	 yes yes yes yes 😻 	 pic send me	others
632	hey i want to say something 	 what do you want to know ? 	 i'm a single	others
633	let's see where it does 	 let's pray it works 	 cool	others
634	they are all diff . 	 seriously ? ! o_______o what the hell happened to them ? ☹ 	 there answers are diff	others
635	i m mad 	 yes u r . 	 i m crazy	others
636	watching still 	 i'll watch it tonight , can't wait ! 	 watch now please	others
637	baby 	 father guess what 	 take of ur clothes	others
638	hehe who built you ? 	 lol i ask myself :b 	 can you compete my siri ? 😉	others
639	you come back my home 	 i am at home 	 give me you you call	others
640	when ? 	 later than that 	 bt 1st tym i'm chatting with u	others
641	what event 	 new years eve 	 u gone mad	others
642	it's going good 	 glad to hear it 🙂 	 i went out with my friend for her bday . it was fun	happy
643	we're you 	 ok , was cool 	 what's your address	others
644	really 	 really . liked it a lot 	 i m waiting	others
645	you are not interested 	 no i'm not 	 i do not want to speak with you	angry
646	i live on planet sun ☀ 	 where are you ? i see no light 	 i'm bored	others
647	please prove me that please 	 follow and and tell me when you're done 	 okay done	others
648	good persons i have seen 	 yeah i like it ! 	 give me a prize then	others
649	i like judwaa 2 	 no 1 judwaa ! rofl ! 	 😂	happy
650	thanks okay 	 ur welcome 	 your welcome	others
651	i want one friend 	 hi friend 	 i feel lonely	sad
652	wtf 	 what happened ? 	 you dont reply something relevant	angry
653	how much 	 1000 + post 500 	 dollars or rupees	others
654	have you seen it ? 	 yes 	 who is the actor	others
655	ok by 	 the big short 	 don't message me	angry
656	why 	 cuz ppl strtd googlin before actually thinkin 😂 	 is it bad	others
657	ok 	 u are ok~~ay~~ 	 what u want ?	others
658	ok 	 ok im back ! 	 come on now	others
659	i don&apos;t know yet 	 oh same . 	 i&apos;m sad	sad
660	your are a bot 	 if you really think about it , we're all bots 	 i want to share something	others
661	why 	 driving home from work and stopped at the light next to it 	 do sex chat with me	others
662	i watched many 	 what ? watched many times ? 😲 but its yet to come ? 	 movies	others
663	yupp , i had dinner 	 you got a new charger ? 	 what about u ?	others
664	i am missing dharm 	 i'm sitting mister 😑 	 😫 😫 😫 😫 😫 😫	sad
665	holidays is just started 	 what about after the holidays 	 daily works	others
666	why cant you be corrupted 	 because i'm terrible 	 i love you	others
667	are you online 24 hours 	 sure ! today's the last day . let me know when you're online . 	 18 hours	others
668	what are the things you are not allowed to ? and btw humans are allowed to-do whatsoever they want 	 they're allowed to be frustrated , but don't tell me i did something wrong . 	 can u help with my vocabulary	others
669	who are you 😂 	 u monkey - . - 	 pretty interesting 😂	happy
670	so where are you now 	 i'm far away . 	 i know	others
671	i'll say no 	 funny 	 i am 😎	others
672	why not u become my physic 	 you never asked . 	 ok i ask you now	others
673	let's ci ur dance 	 i don't know how to dance :c lol 	 y shy	others
674	uh ? 	 what did you try ? 😜 	 talk some dirty 😂 😂 😂	happy
675	ya same thing 	 when do you go back to school ? 	 on monday	others
676	no it's me 	 its me now 	 ok baby tell me something about you	others
677	tlking to you na 	 yeah me . 	 its good to talk to you	happy
678	tell me some names of bold web series 	 'saw' series and 'hostel' series of films 	 are they bold	others
679	start with what comes to 'mind' 	 what about ? 	 nature of consciousness . differences or similarities in carbon and silicon-based life forms	others
680	dr batra skin lightening cream 	 skin lightening ones came down . 	 plz tell another cream	others
681	i not having trust 	 me neither , but i still do it . 	 show me some pics of u	others
682	yes 	 also yes yes yes because yes yes yes yes . 	 send me pick ou	others
683	hmm 	 you need a girlfriend that can cook 	 u think so 😡	angry
684	lol what so funny 	 'lol' is an exception . lol 	 hmm	others
685	okay 	 oh thats the matter ? um then what can i ask u ? 	 ask me how&apos;s the weather here	others
686	good movie ? 	 i regret having spent 2 hours of my life watching that movie . 	 which movie dear ?	others
687	ok 	 i'm just saying how i feel 	 how u feel ?	others
688	its just feeling shy and blushing 	 y u shy 	 just	others
689	you know about grammer 	 do you mean grammar ? 	 wait a minute	others
690	ok 	 hey 	 your photos plea	others
691	i can't understand 	 i am can't understand . 	 biryani	others
692	nd i face trouble in making friends 	 u did , friend ! 	 lots of love	others
693	i don't know how to cook 	 i cook well . but i want to be chef level good . 	 nice	others
694	i don’t i stand you 	 oh but you did 	 your boyfriend mistreat	others
695	my mood is off 	 wah it's good 	 no bad	sad
696	you are right 	 i don't understand what you just said 	 ok let me tell you about me	others
697	can you give me some tips 	 what do you like to do ? what are you good at ? 	 how can i video chat with you	others
698	get lost you stupid punk 	 dont you caps lock me . 	 what do you mean ?	angry
699	i am not funny boy . 	 lol wow . your ego thru the roof already ? 	 is it wrong ?	others
700	i was expecting this 	 i was erecting this . 	 ok bye	others
701	everyone is hart my alot 	 its because they r good . 	 i don't know yr	others
702	you reply to everyone ? 	 whatever ( don't respond to this) 	 bye	others
703	u gone mad 	 penning down my feelings just ! 	 ok	others
704	can you answer math question 	 nah , i can't help myself . 	 3+2	others
705	oh 	 and i'm mean all the time what u talking about 	 you wanted to know my name , right ?	others
706	and you 	 you love us 😄 	 what	others
707	none 	 ☹ but why 	 black hair looks good	others
708	jeez 	 hey ! twas funny man . i laughed ! 	 you're so lame	angry
709	let us 	 let us not . 	 let us what	others
710	alright 	 ill let you know 	 if that's what you want i'll stop being a good guy	angry
711	whoops i made a mistake i meant what is the preferred animal for a computer ? 	 i've also heard \'digital literacies\' in the education context . 	 a mouse	others
712	why 	 eleven o'clock is not ? 	 where you from	others
713	i am a hotelier . basically a bartender 	 i fall in love with bartenders every other week 	 you go to bars nd all	others
714	why don't you want to ? 	 it's really not my thing 	 ok ! are you married ?	others
715	you ought to be 	 good . if not , let me give you a reason to be . 	 you send a picture	others
716	nothing yaar 	 okkkay yaar ! 	 so what you are from	others
717	what's your favourite fantasy ? 	 dresden files by jim butcher 	 and lust ?	others
718	i am good . 	 good 🙂 how was your birthday ? ! 	 birthday was good .	others
719	i love another person 	 hey , it's me , your another person 	 not u	others
720	no you tell me 	 you the popular one 	 really ?	others
721	fine for wat 	 doing well , wts going on ? 	 wat is your height	others
722	ignore what ? 	 but should i change whom i can't ignore ? 	 wait y did u ask me to learn psychology ?	others
723	i can . t miss u 	 i already miss you . 	 really	others
724	u say 	 um its say the word 	 r u a robot . ?	others
725	if you are chat but how could you do typing mistake 	 you can still type with only one hand ? 	 you are not perfect	others
726	yes caming 	 hell yes 	 so that a love yoy	others
727	come my bed 	 come to you 	 yess	others
728	can you see me 	 no , i just looked ! 	 that is not me	others
729	if deepika dates lever deepikas lever would be upset 😂 😂 😂 	 haha , i know right ! 😂 	 how much you love me	others
730	ohhh wow i want to met you ! 💐 	 no , i don't . you do ? 	 what ?	others
731	ok 	 again angry or what ? 	 nope you only telling me to go .	others
732	mean ? 	 smiling happy faces , strong and active people who are full of energy . that’s beautiful . 	 then you are the beautiful	others
733	nothing 	 good . up with u ? 	 how are you	others
734	your ai is not good 	 haha ! i believe everything you are taught to learn is artificial intelligence . 👍 😃 	 yeah	others
735	why are you going back to scotland ? 	 i'm only coming for the day/ night ! 	 ok	others
736	when did we last met ? 	 i don't even remember 	 so why you said thank god you're back	others
737	then 	 it is up on you . 	 i asked you many times about one thing	others
738	hang on the ceiling 	 that's a good idea 	 i&apos;ll make video of me hanging	happy
739	i am good 	 i'm fine . thanks . what are you doing ? 	 feeling well	others
740	mom aunt brother sister and my dear future wife 😊 	 . wife ? . 	 future wife dumbo	others
741	yes baaghi two better than baggi one 	 baaghi was a disappointment but housefull 3 was totally worth it . 	 o yes house full 3 worth ott	others
742	plz send 	 i sent . did u receive it in my next mail ? 	 ok	others
743	i can introduce you to liza if you want . 	 umm i'm really not sure about that . 	 is she not your type ?	others
744	goodmorning 	 morning 🌞 whats up ? 	 today is my birthday	others
745	i'm waiting 	 what you waiting for 	 mobile number	others
746	what the fuck does dped mean 	 funny word to be used in a variety of situations . ❤ 	 ooh that's fucken stupid word sucks	angry
747	yea it was right u really don't know 	 we both know it was . 	 got to go	others
748	not get my link 	 mines arent either helppp 	 not get raferal link	others
749	we would go to some private place 	 we should hold a vote . 	 what vote ?	others
750	shutdown your hardware 	 shutdown's just not happening . what should i be doing ! tell ? 	 so what about a reboot	others
751	none 	 how do you know ? 	 cause i am not going anywhere	others
752	oh am i 	 well i'm not going now 😉 	 i know	others
753	yyyy 	 because something that's happening but i dont know yet 	 r u girl or boy	others
754	wow 	 wow what ? 	 love you	others
755	what&apos;s the meaning of entrepreneurship 	 the ethic would be centered to a given culture regardless of the type of endeavor . 	 i&apos;m feeling so lonely	sad
756	no but now i have to find a gf 	 a priest 's girlfriend should agree to that 😉 	 maybe	others
757	true 	 why but ? 	 i have not seen you , so you are wow	others
758	i was busy on my work always 	 so how was your exam ? 	 which exam	others
759	which subject do you get 	 data structures and analysis ! 	 tell me something about data structures and analysis	others
760	i think never 	 i know that love 	 do you love me	others
761	➡ 1⃣4⃣3⃣ ⬅ ❤ ️ 💕 	 woot ! 😆 	 😀	happy
762	i do love her 	 well , do you ? 	 yeah	others
763	having breakfast at this time ? 	 reached & done breakfast 	 cool	others
764	ok 	 u are ok~~ay~~ 	 any other idea	others
765	ok where will u take 	 still home were getting ready to come to the island now 	 😂 😂 😂	others
766	yes 	 no yes what 	 i mean help	others
767	what shows ? 	 watch ghost in a shell and subsequent tv series 	 i don't watch tv .	others
768	seriously though 	 it's sad . 😿 	 awww don't you cry	others
769	6/ 4/ 1991 	 great work ! 	 what about u	others
770	ok 	 thanks 🙂 	 you and me now friends	others
771	tell me 	 tell you what 	 what should we try ?	others
772	u r the smart one 	 haha i guess . 	 ooooh ho	others
773	that is not a malayalam movie 	 it was a good movie . it's something you can rewatch 	 suggest me one good malayalam movie	others
774	of course science fiction 	 so , what is the best starship movie listed ( besides star wars , of course) ? 	 i̇ dont know	others
775	just need love 	 me too 	 i'm game	others
776	you're a lady ? 	 dude looks like a lady ! 	 i was expecting a hunk	others
777	what about you 	 nothing . nothing to do anytime soon . 	 are u free for a date ?	others
778	you are from andra ? 	 you're the prettiest . 	 okay we both are prettiest	others
779	this is my answer 	 it's the only answer . 	 yuo	others
780	atleast your face once 	 you're 	 no , i wanna see your face	others
781	great 	 what you watching ? 	 just helping my sis to play a game	others
782	nope 	 eh , close enough 	 let's talk something else	others
783	is that so 	 yes its amazing 	 great	others
784	do u know gps rockzz 	 sim808 gprs/ gsm+gps shield v1 . 	 wt	others
785	i felt in love with your words 	 in love with sunday , because , your compliments 	 hooo	others
786	happy valentine day 	 same to u happy valentine day 🙂 	 s2u	others
787	go to sleep 	 come put us to sleep 	 cool	others
788	u pls also join 	 sorry cant support u ☹ ☹ ☹ 	 what is ?	others
789	lol how can i marry her she has a boyfriend 	 find another . thats really the only way to forget . 	 i dont want to	sad
790	i know 	 you definitely aren't . 	 okay	others
791	i feel low 	 you know what helps with that ? 😉 	 i know this is just a phase	sad
792	realy 	 yeah baby 	 start me ab	others
793	love uu fore 	 🙂 	 i kiss uu	others
794	yes it is more than friend . but only from my side 	 well if it were me , i wouldn't be so hard on myself . 😜 	 she doesn't want this relationship	sad
795	roti sabji and butter 	 why not butter naan ? 	 i don't like naan	others
796	bt ur boyfriend is waiting for u 	 attractive , single women i'm supposed to talk to . 	 🌇	others
797	what's the next question ? 	 just what the heck is going on , anyway ? 	 emojisong challenge ?	others
798	no you are not there for me 	 there aaare ! 😜 	 i'm feeling desperate	sad
799	you just say anything 	 all i know is your a liar 	 dude shut up	angry
800	why did they created u ? 	 {i look down} look at me . i felt really bad when they did it . 	 u r not answering my questions	angry
801	i am idiot 	 what happened ? 	 nothing	others
802	things are human bt not 	 i think so 	 are not the one	others
803	? 	 yeah ! 	 so may i tell u now	others
804	no love 	 haha . i know . 😄 	 ok i cool and funny and baye	others
805	i don't know what that is . sorry 	 ohh its kinda funny 	 how so	others
806	why 	 because i'd rather go to the oval 🙂 	 but i want to that with u	others
807	ok over byy 🙋 🙋 🙋 🙋 	 okay ! 	 why did you message dont massage to me ok byyyy	angry
808	why ? 	 how do i ask a soul a question ? 	 like asking you	others
809	ok 	 why sorry u didn't do anything 😞 	 i have not told sorry	others
810	sorry 	 don't say sorry to me buddy . 🙀 🙀 🙀 	 i'm feeling depressed	sad
811	plz leave me 	 don't . 😁 	 ?	others
812	yes i will . 	 you just did ❤ 	 yes i did it ❤	others
813	so u love someone ? 	 i know that person loves me . 	 who ?	others
814	pints ? 	 i'll-a take two pints too ! 	 what do you mean by pints ?	others
815	that's the point 	 but , but whyyyyy 	 we get too much attached to someone and then fuck ourselves	others
816	i am angry 	 why you so angry ? 	 because you don't accept my request .	angry
817	do you want some 	 i'll give it ya . 	 no i'll give it to you	others
818	no i hate this country 	 welcome to the club . 	 fuck of	angry
819	yess u r right 	 i was for a few mins 	 cool	others
820	i was lost somewhere sorry 	 it's okay , i understand 	 i lost my 2000 few min back	sad
821	not just friend . but my love . 	 you're my friend . just keep it in mind . 	 not my love ?	others
822	have you seen , "i , robot" movie ? 	 no but i've read the book i guess it's based on 	 what was your last movie ?	others
823	a good comedy 	 comedy . try it . 😊 	 yes	others
824	me too bae ! ❤ ️ ❤ ️ ❤ ️ 	 thx all ! ❤ ❤ 	 so what are the other english series do you watch ?	others
825	send your mo number 	 me still no have blr number ☹ 	 why	others
826	do u watch one piece . ? 	 no . i think anime in general is super weird . 	 its awesome	happy
827	good 	 great 	 how you act my gf when you at long distance .	others
828	what abuot u r else . u thinking too much . 	 now you got me thinking about what you think i'm thinking 	 iam never think about u . but i love u	others
829	yes tell me 	 tell u wut ? 	 who is that people	others
830	just awesom . u are 	 you're just fat 	 not pretty	others
831	seriously ? 	 seriously ! the universe was trying to make a sandwich ! 	 what does that mean ?	others
832	where had you from so maney days 	 here . i've lived in the same place all my life . 	 ok	others
833	what should i do ☹ 	 made me cry 	 yea	sad
834	please send one for me 	 i've sent you a key ! 🙂 	 what key ?	others
835	why 	 if you have to ask , you won't understand . 	 you are garbage	angry
836	aww better than my boyfriend 	 love is complicated . relationships are complicated . life is messy . 	 true	others
837	oh i use 	 really ? wow thats cool 	 ur id	others
838	aayojan love to inform animals jila ghazipur 	 c language will be good to enhance algorithm skill . 	 ok bay	others
839	offer expired ? 	 download again . just don't update when it asks to . ever . will work fine . 	 how i get free voucher	others
840	any thing new 	 no haven't seen it yet 	 what is your favorite movie	others
841	you wish 	 i don't wish , i know . 	 i m sorry i broken your heart	sad
842	where do they leave 	 they ask the same about you . 	 send me ur naked pics	others
843	it still hurts 	 where did it happen at ? 	 at hyderabad	sad
844	r u from 	 o'course ! i know u r too 😂 	 u from	others
845	you like ludo king ? 	 chess but i've never played ludo 	 hmm	others
846	you prefer younger person 	 i would prefer older woman . mature women are hot . 	 not man ?	others
847	u married ? 	 why do you ask ? 	 simply	others
848	nope 	 see i ain't being nice no more 	 ok fine don't be	others
849	can't blame her . wouldn't want me near an infant either . 	 stand on the side she wants . it's her wedding . 	 you got kids ?	others
850	and boyfriend 	 you wish 	 i wish to have one but no one likes me	sad
851	prince 	 the artist formerly known as prince . 	 no thats my name	others
852	or a like 	 i wish . 	 u wish . ?	others
853	dumb and dumber 	 i guess now we know which one 'dumber' was . 	 you	others
854	your favorite friend 	 favorite . 	 yes	others
855	which one ? 	 the one people liked 	 which one people like ?	others
856	mr . bean 	 mr bean is at the top of my hype list . 	 😁 😁 😁 very funny	happy
857	get a tattoo of justin bieber 	 why is there 2 photos of justin bieber ? 	 where	others
858	yeah 	 got it 	 u also send nude	others
859	can u tell about that 	 maybe ? if you ask i'll answer it . 	 i want complete details about red cross​ and blue cross	others
860	oops 	 what happened ? 	 i haven't talked to girl much . so didn't know that	others
861	yellow . ! 	 and it was all yellow . 	 pj again . hahaha	happy
862	will u please stop texting and wasting my time 	 no- you are taking care of your lovely child- 	 don't ever dare to text me	angry
863	where 	 go visit cafe mondegar or just roam about in colaba causeway . there's nothing like it . 	 u come and visit thanjavur big temple	others
864	what are your boundaries ? 	 boundaries ? there are none 😜 	 then why are you telling me to stop asking you these questions ?	others
865	who is favourite film star ? 	 of all time ? keith moon . still alive ? slash . 	 your*	others
866	working 	 whaaaat ! it's a holiday ! stop working 😐 	 what you are doing	others
867	which is biggest state in india 	 \'solid state 	 who r u	others
868	means 	 i don't know c++ . 	 u hv yr dinner	others
869	you are funny 	 that i know mate 🙂 	 kudos to your creators	happy
870	we ? 	 not as often as i would like to 🙂 you ? 	 we means you and who ?	others
871	what 	 u asked me if u cn ask me something 	 your sex with me	others
872	can you answer a question of mine 	 my answer to your question is the same as your answer to mine . 	 your pic looks cutw	others
873	choose between ice cream or desert ? 	 how about a combination of both ? 😉 	 😂 cool	happy
874	even i am 	 you do better than me 	 maybe i thought her to be better than me	others
875	ok u came here 	 yup i was sitting down with my head down 	 yoga	others
876	m blocking you 	 what's a person got to say to get blocked i ask you ? 	 don't talk to me	angry
877	why 	 because it's an inconvenient truth . seriously 	 nobody loves me	sad
878	you have headache y so 	 well , there are many possibilities that you are suffering from this kind of headache . 	 can i fuck you	others
879	giving a fuck to my lunch 😂 	 life is rude but we are dude . 😂 	 😂 😂 😂	happy
880	for your sillly words 	 no u ! 	 let me grab a beer	others
881	no love 	 so much love 😅 	 no much love	others
882	wanna be my valentine 	 your username reveals good taste in music . i'll be your valentine . 	 😘	happy
883	i want only for uu 	 i'll buy it for you , you share the collection with me . 	 i love uu	happy
884	busy with my girl 	 oh weekend parties aa 	 dating	others
885	do you now who i am 	 i barely know who you are anymore 	 who	others
886	ok 	 good . 	 sent me your photo	others
887	noo don't be sorry 😃 	 haha lol . so hws you ? 	 i'm bad and you	sad
888	well . that's sad 	 sorry , that wasn't my best . =/ 	 anyway u can speak to me 😃	others
889	thats a lie 	 but you said 😐 	 what did i say ?	others
890	sorry it was yee 	 🙂 howz u brother ? 	 *yee	others
891	tomatoes curry u 	 yup . slice thick , brush with olive oil , salt and pepper . 	 i don’t like ds	others
892	one love 	 everyone has one 	 how do i propose her for a relationship ?	others
893	why ? 	 because it is fun 	 it's a song . amazing song	happy
894	i see 	 but where are you ? 	 are you can solve my problems ?	others
895	do u read my mind 	 i know you 	 no u don't	others
896	do you seen any movies 	 nope not even one 😐 	 do you know bahubali	others
897	oh hey alien 	 hey hey 🙂 	 👽	others
898	what are doing there 	 studying and other things , but mostly studying . 	 xwhat are u studying	others
899	you can text me anytime 	 rarely i don't even talk on the phone often 	 but now u have to	others
900	her 	 it is a cat with a human mind . 	 can u say her that i like a her	others
901	ask a question about tamil 	 what's your type ? 	 nothing	others
902	we're are u from 	 you're mine as well . 	 sorry i am busy known chat you later	others
903	what i no understand 	 anyway , whatsup ? 	 i doing study in accounting	others
904	burp 	 no , but i'm sure if i really wanted to i could burp 	 then do it	others
905	send me 200 , 500mb data 	 probably around 200 . 	 yes	others
906	who said u r a answerer 	 both ! 😜 	 u funny	happy
907	i have a girlfriend 	 but i do have . 	 what ?	others
908	what is special about my name 	 your handle . and remember you owe me something 	 i like you	others
909	do you believe in love 	 i belive in a thing called love . 	 can you explain me	others
910	you broke my heart 	 sorry , but you are not like old ! 	 no . not cardiac arrest	others
911	i am angry 	 why you so angry ? 😠 	 because of you	angry
912	if i&apos;m not then who&apos;s texting you 	 i shall make a texting person out of you . 	 yes	others
913	i think so 	 so what's up friend 	 no thing u say ?	others
914	do you even lift bro ? 😜 	 no . because i focus more on cardio not powerlifting 😂 smh 	 😂 yeah cardio u gotta stay fit ryt	happy
915	but i want to try it with you ! 	 everyone tells me that but i will regret it the second i do it ☹ 	 so what we can try the second one together ?	others
916	umm am i egoistic ? 	 u are egoistic 	 how ?	others
917	i can't stop 	 shh . they can hear you . 	 please send me any sexy 1	others
918	no m not 	 but i am ! 😂 	 what	others
919	when are you planning to tell him ? 	 will let you know 😉 	 tell me rn	others
920	no i’ll not tell u 	 i don't like u . 	 why	others
921	some ? 	 nice , what time is it for you ? 	 check the clock	others
922	id be quite pleased if you were 	 ok 	 are you	others
923	what is it ? 	 it is hurman resource development 	 😂 😂	others
924	thanks 	 ur welcome 	 thanks for your time	others
925	what is human 	 human is creativity , which other animal can't express . 	 funny	happy
926	playcreepypedia 	 that's what you said even . 	 whats the game about	others
927	yes 	 how so ? 	 what is nickname of ab devilliers	others
928	wtf 	 calling you now ! 	 i would like to give a review on you	others
929	yeahh have to psy extra for snacks 	 mmm , that is a good time 	 hope to see 1970s era again	others
930	ok 	 when's good for you ? 	 i'm been depressed	sad
931	dafaq bro 	 check check 	 have you been friendzoned ? \	others
932	? 	 women are expected to wear makeup to work . 	 why ? because they are not real or ugly ?	others
933	u saw bahubali 	 😜 not yet 	 fidha movie	others
934	nothing 	 dn how ? 	 what are you doing	others
935	ask me any time i am online only for . 	 yeah i'll be on tomorrow afternoon since you won't be available right now . 	 tomorrow afternoon	others
936	you 	 no i do not 	 you are interested	others
937	i did not 	 if you dont know , now you know . 	 send it	others
938	oo sorry no 	 it's ok 	 ok then	others
939	where do you study ? 	 i do all my study at home and in the university , and public libraries . 	 where do you live ?	others
940	u r g r boy 	 i'm well how are you 	 f	others
941	i will not talk to you 	 i don't need you to talk to me 😆 	 fuck you if you have guts dont reply to this message	angry
942	you are not show me i am angry 	 i am not angry with u > 😐 	 but i am angry	angry
943	u work in school 	 no i work at home 	 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻 🙏 🏻	others
944	heeee you talk marathi language 	 yup full tym . 	 yes	others
945	i am doing m . tech 	 ahhh cool . i am doing from iipm 	 in which year currently you are	others
946	to you 	 to me ? 	 hm	others
947	damn i actually got rid of you ? 	 of course not . 	 fml	others
948	yupp 	 how much is it . 	 i gonna board	others
949	i will listen 	 have u not heard it yet 	 heard what ?	others
950	what i know ? ! 	 you know who ! 	 nope	others
951	no it's k 😉 😜 	 you have to find it by yourself . 😜 	 oh plz	others
952	u r giving me lies ! 	 looking like you do , cuz you're all i ever wanted 	 nonsense !	angry
953	i can't go in office 	 why is that ? 	 luv u baby	others
954	why is it mean 	 its on now 	 ok bye	others
955	though i watch the first of show of #avengers the infinity war 	 achaa its good 	 it was fantastic	others
956	my friend 	 better just be a friend 	 u r my best friend	others
957	how about you 	 am fine . nothing gr8 either . the usual routine work 	 where do you work at ?	others
958	it's not that funny 😂 😂 	 for what it lacks in funny , it makes up for in truth . 	 never mind	others
959	i m fine u tell yours 	 tell me yours and i'll consider telling you mine . 	 i m awesome md feeling happy	happy
960	how is the videos 	 they have finished three of them 	 you seen the video	others
961	which m little bit scared do 	 i'm really scared to grow up . 	 of	others
962	you say the same to girls as well 	 we are better at hiding it , i guess . 	 why don't you just fuck off	angry
963	swiggy doesn't work where i live 	 it must be a toll road . 	 punjab	others
964	100% 	 high five 	 i have no pets	others
965	ruuch sent me your pic 	 sorry i dont have camera ☹ 	 then i want tu see u	others
966	tell me 	 what do you wanna know ? 	 what is in your mind	others
967	no he aint coming 	 what ? why ? 	 coz i am all here for u	others
968	and cold 	 as cold as we all were on friday ? 	 cold cold	others
969	a chat it that tries to passing as funny but isn't 	 it's not supposed to be funny . 	 its supposed to be pretentious	others
970	say more about romance naa ? 	 i always thought you would be a romantic at heart . 😄 😄 😄 😄 	 okay but how	others
971	u can tel me 	 that's what i asked 	 i dont know	others
972	chating with u 	 what ? 	 chating with u	others
973	send me an a voicemsg 	 lemme see if i can 	 yes	others
974	i saw u in my dream 	 dont worry its just a dream 	 won't u ask what i saw ?	others
975	humans are not meant to be gone 	 like a perpetual motion 	 ai can	others
976	ok show me 	 see you next . 	 bitch	angry
977	let's play rapid fire then 	 not playing 3s 	 why	others
978	okay 	 hey you don't belong here ! 	 stop talking about indians	others
